,Op.,title,subtitle,key,dates of composition,publication year
117,41-3,Mazurka,,B major,1839,1840
118,41-4,Mazurka,,A flat major,1839,1840
119,42,Waltz ,,A flat major,1840,1840
120,43,Tarantella,,A flat major,1841,1841
121,44,Polonaise,,F sharp minor,1841,1841
122,45,Prelude No.25,,C sharp minor,1841,1841
123,46,Allegro de concert,,A major,1841,1841
124,47,Ballad No.3,,A flat major,1841,1841
125,48-1,Nocturne,,C minor,1841,1841
126,48-2,Nocturne,,F sharp minor,1841,1841
127,49,Fantasy　,,F minor,1841,1841
128,50-1,Mazurka,,G major,1842,1842
129,50-2,Mazurka,,A flat major,1842,1842
130,50-3,Mazurka,,C sharp minor,1842,1842
131,51,Impromptu No.3,,G flat major,1842,1843
132,52,Ballad No.4,,F minor,1842-1843,1843
133,53,Polonaise,Heroic,A flat major,1842-1843,1843
134,54,Scherzo No.4,,E major,1842-1843,1843
135,55-1,Nocturne,,F minor,1842-1844,1844
136,55-2,Nocturne,,E flat major,1842-1844,1844
137,56-1,Mazurka,,B major,1843-1844,1844
138,56-2,Mazurka,,C major,1843-1844,1844
139,56-3,Mazurka,,C minor,1843-1844,1844
140,57,Berceuse,,D flat major,1844,1845
141,58,Piano Sonata No.3,,B minor,1844,1845
142,59-1,Mazurka,,A minor,1845,1845
143,59-2,Mazurka,,A flat major,1845,1845
144,59-3,Mazurka,,F sharp minor,1845,1845
145,60,Barcarolle ,,F sharp major,1845-1846,1845
146,61,Polonaise,Polonaise-Fantaisie,A flat major,1846,1846
147,62-1,Nocturne,,B major,1846,1846
148,62-2,Nocturne,,E major,1846,1846
149,63-1,Mazurka,,B major,1846,1847
150,63-2,Mazurka,,F minor,1846,1847
151,63-3,Mazurka,,C sharp minor,1846,1847
152,64-1,Waltz ,,D flat major,1846-1847,1847
153,64-2,Waltz ,,C sharp minor,1846-1847,1847
154,64-3,Waltz ,,A flat major,1846-1847,1847
155,65,Cello sonata,,G minor,1845-1846,1847
156,66,Fantaisie-Impromptu,,C sharp minor,1834,1855
157,67-1,Mazurka,,G major,1835,1855
158,67-2,Mazurka,,G minor,1849,1855
159,67-3,Mazurka,,C major,1835,1855
160,67-4,Mazurka,,A minor,1846,1855
161,68-1,Mazurka,,C major,1830,1855
162,68-2,Mazurka,,A minor,1827,1855
163,68-3,Mazurka,,F major,1830,1855
164,68-4,Mazurka,,F minor,1849,1855
165,69-1,Waltz ,Farewell,A flat major,1835,1855
166,69-2,Waltz ,,B minor,1829,1855
167,70-1,Waltz ,,G flat major,1832,1855
168,70-2,Waltz ,,F minor,1842,1855
169,70-3,Waltz ,,D flat major,1829,1855
170,71-1,Polonaise,,D minor,1827,1855
171,71-2,Polonaise,,B flat major,1828,1855
172,71-3,Polonaise,,F minor,1829,1855
173,72-1,Nocturne,,E minor,1829,1855
174,72-2,Funeral March,,C minor,1827,1855
175,72-3,3 Ecossaises No.1,,D major,1826,1855
176,72-3,3 Ecossaises No.2,,G major,1826,1855
177,72-3,3 Ecossaises No.3,,D flat major,1826,1855
178,73,Rondo,,C major,1828,1855
179,74,17 Chants Polonais No.1 A Maiden's wish,,G major,1855,1831
180,,17 Chants Polonais No.2 Spring,,G minor,1855,1831
181,,17 Chants Polonais No.3 Troubled Waters,,F sharp minor,1855,1831
182,,17 Chants Polonais No.4 Drinking Song,,C major,1855,1831
183,,17 Chants Polonais No.5 A Fickle Maid,,A major,1855,1831
184,,17 Chants Polonais No.6 Remembrance,,F minor,1855,1831
185,,17 Chants Polonais No.7 The Messenger,,D major,1855,1831
186,,17 Chants Polonais No.8 Handsome Lad,,D major,1855,1831
187,,17 Chants Polonais No.9 Melody,,E minor,1855,1831
188,,17 Chants Polonais No.10 The Warrior,,A flat major,1855,1831
189,,17 Chants Polonais No.11 The Double-End,,D minor,1855,1831
190,,17 Chants Polonais No.12 My Darling,,G flat major,1855,1831
191,,17 Chants Polonais No.13 I Want What I Have Not,,A minor,1855,1831
